================================================================================================
                                        FOR PROPERTY 3                  
================================================================================================

Network 	 Input Node 	 Bin Combination 	 Execution Time 	 Counterexample
----------------------------------------------------------------------------------------------

1_1 	 	 4 	 	 0	 	 4232 sec    	 	 	 none found 
1_1 	 	 4 	 	 1	 	 3513 sec    	 	 	 none found 
1_1 	 	 4 	 	 2	 	 3184 sec    	 	 	 none found 
1_1 	 	 4 	 	 3	 	 2190 sec    	 	 	 none found 
1_1 	 	 4 	 	 4	 	 3083 sec    	 	 	 none found 
1_1 	 	 4 	 	 5	 	 4019 sec    	 	 	 none found 
1_1 	 	 4 	 	 6	 	 3309 sec    	 	 	 none found 
1_1 	 	 4 	 	 7	 	 3057 sec    	 	 	 none found 
1_1 	 	 4 	 	 8	 	 4824 sec    	 	 	 none found 
1_1 	 	 4 	 	 9	 	 3112 sec    	 	 	 none found 
1_1 	 	 4 	 	 10	 	 1823 sec    	 	 	 none found 
1_1 	 	 4 	 	 11	 	 1440 sec    	 	 	 none found 
1_1 	 	 4 	 	 12	 	 3111 sec    	 	 	 none found 
1_1 	 	 4 	 	 13	 	 2183 sec    	 	 	 none found 
1_1 	 	 4 	 	 14	 	 2471 sec    	 	 	 none found 
1_1 	 	 4 	 	 15	 	 3090 sec    	 	 	 none found 
1_1 	 	 4 	 	 16	 	 4664 sec    	 	 	 none found 
1_1 	 	 4 	 	 17	 	 2559 sec    	 	 	 none found 
1_1 	 	 4 	 	 18	 	 2517 sec    	 	 	 none found 
1_1 	 	 4 	 	 19	 	 2667 sec    	 	 	 none found 
1_1 	 	 4 	 	 20	 	 3757 sec    	 	 	 none found 
1_1 	 	 4 	 	 21	 	 2599 sec    	 	 	 none found 
1_1 	 	 4 	 	 22	 	 2263 sec    	 	 	 none found 
1_1 	 	 4 	 	 23	 	 2309 sec    	 	 	 none found 
1_1 	 	 4 	 	 24	 	 4188 sec    	 	 	 none found 
1_1 	 	 4 	 	 25	 	 3705 sec    	 	 	 none found 
1_1 	 	 4 	 	 26	 	 3935 sec    	 	 	 none found 
1_1 	 	 4 	 	 27	 	 3898 sec    	 	 	 none found 
1_1 	 	 4 	 	 28	 	 3561 sec    	 	 	 none found 
1_1 	 	 4 	 	 29	 	 3845 sec    	 	 	 none found 
1_1 	 	 4 	 	 30	 	 2301 sec    	 	 	 none found 
1_1 	 	 4 	 	 31	 	 2332 sec    	 	 	 none found 
1_1 	 	 4 	 	 32	 	 5661 sec    	 	 	 none found 
1_1 	 	 4 	 	 33	 	 2081 sec    	 	 	 none found 
1_1 	 	 4 	 	 34	 	 2896 sec    	 	 	 none found 
1_1 	 	 4 	 	 35	 	 1940 sec    	 	 	 none found 
1_1 	 	 4 	 	 36	 	 3700 sec    	 	 	 none found 
1_1 	 	 4 	 	 37	 	 2849 sec    	 	 	 none found 
1_1 	 	 4 	 	 38	 	 1795 sec    	 	 	 none found 
1_1 	 	 4 	 	 39	 	 2648 sec    	 	 	 none found 
1_1 	 	 4 	 	 40	 	 2380 sec    	 	 	 none found 
1_1 	 	 4 	 	 41	 	 2565 sec    	 	 	 none found 
1_1 	 	 4 	 	 42	 	 3426 sec    	 	 	 none found 
1_1 	 	 4 	 	 43	 	 2772 sec    	 	 	 none found 
1_1 	 	 4 	 	 44	 	 3779 sec    	 	 	 none found 
1_1 	 	 4 	 	 45	 	 2928 sec    	 	 	 none found 
1_1 	 	 4 	 	 46	 	 3088 sec    	 	 	 none found 
1_1 	 	 4 	 	 47	 	 3052 sec    	 	 	 none found 
1_1 	 	 5 	 	 0	 	 4303 sec    	 	 	 none found 
1_1 	 	 5 	 	 1	 	 4867 sec    	 	 	 none found 
1_1 	 	 5 	 	 2	 	 3402 sec    	 	 	 none found 
1_1 	 	 5 	 	 3	 	 3498 sec    	 	 	 none found 
1_1 	 	 5 	 	 4	 	 3535 sec    	 	 	 none found 
1_1 	 	 5 	 	 5	 	 5010 sec    	 	 	 none found 
1_1 	 	 5 	 	 6	 	 2804 sec    	 	 	 none found 
1_1 	 	 5 	 	 7	 	 4027 sec    	 	 	 none found 
1_1 	 	 5 	 	 8	 	 4221 sec    	 	 	 none found 
1_1 	 	 5 	 	 9	 	 3381 sec    	 	 	 none found 
1_1 	 	 5 	 	 10	 	 4363 sec    	 	 	 none found 
1_1 	 	 5 	 	 11	 	 3273 sec    	 	 	 none found 
1_1 	 	 5 	 	 12	 	 4992 sec    	 	 	 none found 
1_1 	 	 5 	 	 13	 	 4055 sec    	 	 	 none found 
1_1 	 	 5 	 	 14	 	 3349 sec    	 	 	 none found 
1_1 	 	 5 	 	 15	 	 4238 sec    	 	 	 none found 
1_1 	 	 5 	 	 16	 	 4013 sec    	 	 	 none found 
1_1 	 	 5 	 	 17	 	 4083 sec    	 	 	 none found 
1_1 	 	 5 	 	 18	 	 5220 sec    	 	 	 none found 
1_1 	 	 5 	 	 19	 	 4630 sec    	 	 	 none found 
1_1 	 	 5 	 	 20	 	 3974 sec    	 	 	 none found 
1_1 	 	 5 	 	 21	 	 4471 sec    	 	 	 none found 
1_1 	 	 5 	 	 22	 	 5706 sec    	 	 	 none found 
1_1 	 	 5 	 	 23	 	 3978 sec    	 	 	 none found 
1_1 	 	 5 	 	 24	 	 3366 sec    	 	 	 none found 
1_1 	 	 5 	 	 25	 	 3752 sec    	 	 	 none found 
1_1 	 	 5 	 	 26	 	 4298 sec    	 	 	 none found 
1_1 	 	 5 	 	 27	 	 4338 sec    	 	 	 none found 
1_1 	 	 5 	 	 28	 	 4265 sec    	 	 	 none found 
1_1 	 	 5 	 	 29	 	 5374 sec    	 	 	 none found 
1_1 	 	 5 	 	 30	 	 4489 sec    	 	 	 none found 
1_1 	 	 5 	 	 31	 	 4848 sec    	 	 	 none found 
1_1 	 	 5 	 	 32	 	 3633 sec    	 	 	 none found 
1_1 	 	 5 	 	 33	 	 5389 sec    	 	 	 none found 
1_1 	 	 5 	 	 34	 	 3336 sec    	 	 	 none found 
1_1 	 	 5 	 	 35	 	 3945 sec    	 	 	 none found 
1_1 	 	 5 	 	 36	 	 6702 sec    	 	 	 none found 
1_1 	 	 5 	 	 37	 	 4523 sec    	 	 	 none found 
1_1 	 	 5 	 	 38	 	 5465 sec    	 	 	 none found 
1_1 	 	 5 	 	 39	 	 3854 sec    	 	 	 none found 
1_1 	 	 5 	 	 40	 	 4795 sec    	 	 	 none found 
1_1 	 	 5 	 	 41	 	 5916 sec    	 	 	 none found 
1_1 	 	 5 	 	 42	 	 3971 sec    	 	 	 none found 
1_1 	 	 5 	 	 43	 	 3622 sec    	 	 	 none found 
1_1 	 	 5 	 	 44	 	 5857 sec    	 	 	 none found 
1_1 	 	 5 	 	 45	 	 5266 sec    	 	 	 none found 
1_1 	 	 5 	 	 46	 	 5541 sec    	 	 	 none found 
1_1 	 	 5 	 	 47	 	 3748 sec    	 	 	 none found 


1_2 	 	 1 	 	 0	 	 2835 sec    	 	 	 none found 
1_2 	 	 1 	 	 1	 	 2660 sec    	 	 	 none found 
1_2 	 	 1 	 	 2	 	 4236 sec    	 	 	 none found 
1_2 	 	 1 	 	 3	 	 2552 sec    	 	 	 none found 
1_2 	 	 1 	 	 4	 	 2793 sec    	 	 	 none found 
1_2 	 	 1 	 	 5	 	 3740 sec    	 	 	 none found 
1_2 	 	 1 	 	 6	 	 5535 sec    	 	 	 none found 
1_2 	 	 1 	 	 7	 	 4606 sec    	 	 	 none found 
1_2 	 	 1 	 	 8	 	 2793 sec    	 	 	 none found 
1_2 	 	 1 	 	 9	 	 3217 sec    	 	 	 none found 
1_2 	 	 1 	 	 10	 	 4343 sec    	 	 	 none found 
1_2 	 	 1 	 	 11	 	 3853 sec    	 	 	 none found 
1_2 	 	 1 	 	 12	 	 2836 sec    	 	 	 none found 
1_2 	 	 1 	 	 13	 	 3070 sec    	 	 	 none found 
1_2 	 	 1 	 	 14	 	 4456 sec    	 	 	 none found 
1_2 	 	 1 	 	 15	 	 3555 sec    	 	 	 none found 
1_2 	 	 1 	 	 16	 	 2882 sec    	 	 	 none found 
1_2 	 	 1 	 	 17	 	 2608 sec    	 	 	 none found 
1_2 	 	 1 	 	 18	 	 4204 sec    	 	 	 none found 
1_2 	 	 1 	 	 19	 	 4276 sec    	 	 	 none found 
1_2 	 	 1 	 	 20	 	 5347 sec    	 	 	 none found 
1_2 	 	 1 	 	 21	 	 3804 sec    	 	 	 none found 
1_2 	 	 1 	 	 22	 	 3411 sec    	 	 	 none found 
1_2 	 	 1 	 	 23	 	 6133 sec    	 	 	 none found 
1_2 	 	 1 	 	 24	 	 2365 sec    	 	 	 none found 
1_2 	 	 1 	 	 25	 	 3635 sec    	 	 	 none found 
1_2 	 	 1 	 	 26	 	 4016 sec    	 	 	 none found 
1_2 	 	 1 	 	 27	 	 4841 sec    	 	 	 none found 
1_2 	 	 1 	 	 28	 	 4419 sec    	 	 	 none found 
1_2 	 	 1 	 	 29	 	 4087 sec    	 	 	 none found 
